image,keyPress
1,a
2,blank
3,blank
4,d
5,blank
6,blank
7,a
8,blank
9,blank
10,blank
11,blank
12,blank
13,blank
14,blank
15,blank
16,d
17,blank
18,blank
19,blank
20,blank
21,blank
22,blank
23,blank
24,blank
25,blank
26,blank
27,blank
28,blank
29,blank
30,w
31,blank
32,blank
33,blank
34,blank
35,a
36,blank
37,blank
38,w
39,w
40,blank
41,blank
42,blank
43,blank
44,blank
45,d
46,blank
47,blank
48,blank
49,blank
50,blank
51,blank
52,blank
53,blank
54,blank
55,blank
56,blank
57,blank
58,blank
59,blank
60,blank
61,blank
62,d
63,blank
64,blank
65,blank
66,blank
67,blank
68,blank
69,a
70,blank
71,blank
72,blank
73,blank
74,blank
75,a
76,blank
77,blank
78,d
79,blank
80,blank
81,a
82,blank
83,blank
84,blank
85,d
86,blank
87,a
88,blank
89,blank
90,d
91,blank
92,blank
93,blank
94,d
95,blank
96,blank
97,a
98,blank
99,blank
100,blank
101,d
102,blank
104,a
105,blank
106,a
107,blank
108,blank
109,d
110,blank
111,blank
112,blank
113,blank
114,blank
115,blank
116,blank
117,blank
118,blank
119,blank
120,blank
121,blank
122,a
123,blank
124,blank
125,blank
126,blank
127,blank
128,blank
129,blank
130,blank
131,s
132,blank
133,blank
134,blank
135,blank
136,w
137,blank
138,blank
139,blank
140,blank
141,blank
142,blank
143,w
144,blank
145,blank
146,blank
147,blank
148,blank
149,blank
150,d
151,blank
152,blank
153,w
154,blank
155,d
156,blank
157,blank
158,blank
159,blank
160,blank
161,w
162,blank
163,blank
164,blank
165,blank
166,blank
167,blank
168,blank
169,blank
170,a
171,blank
172,blank
173,blank
174,blank
175,blank
176,blank
177,blank
178,blank
179,blank
180,blank
181,blank
182,a
183,blank
184,d
185,blank
186,blank
187,blank
188,a
189,blank
190,blank
191,blank
192,d
193,blank
194,blank
195,blank
196,w
197,blank
198,blank
199,blank
200,blank
201,d
202,blank
203,blank
204,blank
205,a
206,blank
207,blank
209,w
210,blank
211,blank
212,blank
213,blank
214,d
215,blank
216,blank
217,blank
218,a
219,blank
220,blank
221,w
222,blank
223,blank
224,blank
225,blank
226,blank
227,d
228,blank
229,blank
230,blank
231,a
232,blank
233,blank
234,blank
235,blank
236,blank
237,blank
238,blank
239,d
240,blank
242,s
243,blank
244,a
245,blank
246,blank
247,blank
248,blank
249,w
250,blank
251,blank
252,blank
253,blank
254,d
255,blank
256,s
257,blank
258,blank
259,blank
260,blank
261,blank
262,a
263,blank
264,w
265,blank
266,blank
267,blank
268,blank
269,blank
270,d
271,blank
272,blank
273,blank
274,w
275,blank
276,blank
277,blank
278,blank
279,blank
280,blank
281,blank
282,blank
283,s
284,blank
285,blank
286,blank
287,a
288,blank
289,blank
290,blank
291,blank
292,blank
293,blank
294,s
295,blank
296,blank
297,blank
298,blank
299,a
300,blank
301,blank
302,blank
303,w
304,blank
305,blank
306,blank
307,d
308,blank
309,blank
310,blank
311,a
312,blank
313,blank
314,s
315,blank
316,blank
317,blank
318,blank
319,d
320,blank
321,w
322,blank
323,blank
324,blank
325,blank
326,d
327,blank
328,s
329,blank
330,blank
331,a
332,blank
333,blank
334,s
335,blank
336,blank
337,blank
338,blank
339,blank
340,blank
341,blank
342,blank
343,blank
344,blank
345,blank
346,w
347,blank
348,a
349,blank
350,blank
351,blank
352,blank
353,blank
354,blank
355,blank
356,blank
357,blank
358,d
359,blank
360,blank
361,blank
362,blank
363,a
364,blank
365,blank
366,blank
367,w
368,blank
369,blank
370,blank
371,d
372,blank
373,blank
374,blank
375,blank
376,d
377,blank
378,blank
379,a
380,blank
382,a
383,blank
384,blank
385,w
386,blank
387,blank
388,blank
389,w
390,blank
391,blank
392,blank
393,blank
394,d
395,blank
396,blank
397,blank
398,blank
399,blank
400,blank
401,blank
402,blank
403,blank
404,blank
405,d
406,blank
408,w
409,blank
410,blank
411,blank
412,a
413,blank
414,blank
415,a
416,a
417,blank
418,blank
419,blank
420,blank
421,blank
422,d
423,blank
424,blank
425,blank
426,blank
427,blank
428,blank
429,blank
430,blank
431,blank
432,blank
433,blank
434,blank
435,blank
436,w
437,blank
438,blank
439,blank
440,blank
441,blank
442,w
443,w
444,blank
445,blank
446,blank
447,blank
448,blank
449,d
450,blank
451,blank
452,a
453,blank
454,blank
455,blank
456,blank
457,blank
458,blank
459,blank
460,blank
461,w
462,blank
463,blank
464,blank
465,blank
466,blank
467,blank
468,w
469,blank
470,blank
471,blank
472,d
473,d
474,blank
475,s
476,blank
477,blank
478,a
479,blank
